Date : 2020-03-26 23:19:56
Directory : d:\Unity Projects\RocketPigV2\RocketPigV2
Total : 315 files,  31836 codes, 9362 comments, 6089 blanks, all 47287 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C#            |        286 |     27,753 |      9,232 |      5,487 |     42,472 |
| ShaderLab     |         11 |      1,679 |         51 |        471 |      2,201 |
| XML           |          7 |      1,668 |         22 |         14 |      1,704 |
| Objective-C++ |          2 |        255 |         20 |         39 |        314 |
| HLSL          |          3 |        209 |         21 |         57 |        287 |
| JSON          |          2 |        201 |          0 |          3 |        204 |
| Log           |          1 |         44 |          0 |          4 |         48 |
| C++           |          2 |         25 |         16 |         13 |         54 |
| Properties    |          1 |          2 |          0 |          1 |          3 |
+---------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        315 |     31,836 |      9,362 |      6,089 |     47,287 |
| Assets                                                                                                                                                  |        311 |     30,153 |      9,348 |      6,082 |     45,583 |
| Assets\Extensions                                                                                                                                       |        270 |     26,618 |      9,075 |      5,230 |     40,923 |
| Assets\Extensions\CloudOnce                                                                                                                             |         89 |      8,987 |      3,111 |      1,759 |     13,857 |
| Assets\Extensions\CloudOnce\Data                                                                                                                        |         17 |        312 |        388 |         75 |        775 |
| Assets\Extensions\CloudOnce\Data\CloudPrefs                                                                                                             |         11 |        177 |        314 |         48 |        539 |
| Assets\Extensions\CloudOnce\Internal                                                                                                                    |         55 |      6,803 |      2,108 |      1,355 |     10,266 |
| Assets\Extensions\CloudOnce\Internal\Data                                                                                                               |         16 |      2,347 |        618 |        485 |      3,450 |
| Assets\Extensions\CloudOnce\Internal\Data\CloudPrefs                                                                                                    |          6 |        636 |        265 |        167 |      1,068 |
| Assets\Extensions\CloudOnce\Internal\Data\JSONObject                                                                                                    |          4 |        826 |         60 |        131 |      1,017 |
| Assets\Extensions\CloudOnce\Internal\Data\JSONObject\Editor                                                                                             |          1 |         34 |          9 |          7 |         50 |
| Assets\Extensions\CloudOnce\Internal\Data\Templates                                                                                                     |          1 |         31 |          0 |          2 |         33 |
| Assets\Extensions\CloudOnce\Internal\Data\iCloud                                                                                                        |          2 |         77 |         45 |         22 |        144 |
| Assets\Extensions\CloudOnce\Internal\Editor                                                                                                             |         17 |      2,904 |        583 |        544 |      4,031 |
| Assets\Extensions\CloudOnce\Internal\Editor\Data                                                                                                        |          5 |        378 |        114 |         77 |        569 |
| Assets\Extensions\CloudOnce\Internal\Editor\Utils                                                                                                       |          9 |      1,309 |        307 |        245 |      1,861 |
| Assets\Extensions\CloudOnce\Internal\Editor\Utils\GooglePlayGamesSetup                                                                                  |          3 |        188 |         90 |         46 |        324 |
| Assets\Extensions\CloudOnce\Internal\Interfaces                                                                                                         |          5 |         68 |        191 |         36 |        295 |
| Assets\Extensions\CloudOnce\Internal\Utils                                                                                                              |          8 |        867 |        335 |        161 |      1,363 |
| Assets\Extensions\CloudOnce\Providers                                                                                                                   |          9 |      1,475 |        561 |        252 |      2,288 |
| Assets\Extensions\CloudOnce\Providers\AppleGameCenter                                                                                                   |          2 |        354 |        102 |         55 |        511 |
| Assets\Extensions\CloudOnce\Providers\DummyProvider                                                                                                     |          2 |        111 |         99 |         25 |        235 |
| Assets\Extensions\CloudOnce\Providers\GooglePlayGames                                                                                                   |          2 |        612 |        125 |         96 |        833 |
| Assets\Extensions\CloudOnce\Providers\TestProvider                                                                                                      |          2 |        244 |        145 |         45 |        434 |
| Assets\Extensions\CloudOnce\Quick Start Scripts                                                                                                         |          7 |        392 |         54 |         76 |        522 |
| Assets\Extensions\GooglePlayGames                                                                                                                       |        181 |     17,631 |      5,964 |      3,471 |     27,066 |
| Assets\Extensions\GooglePlayGames\BasicApi                                                                                                              |         33 |      2,386 |      2,318 |        554 |      5,258 |
| Assets\Extensions\GooglePlayGames\BasicApi\Events                                                                                                       |          2 |         48 |         81 |         13 |        142 |
| Assets\Extensions\GooglePlayGames\BasicApi\Multiplayer                                                                                                  |          8 |        544 |        596 |        128 |      1,268 |
| Assets\Extensions\GooglePlayGames\BasicApi\Nearby                                                                                                       |          7 |        356 |        106 |         90 |        552 |
| Assets\Extensions\GooglePlayGames\BasicApi\SavedGame                                                                                                    |          3 |        185 |        364 |         54 |        603 |
| Assets\Extensions\GooglePlayGames\BasicApi\Video                                                                                                        |          4 |        168 |        151 |         31 |        350 |
| Assets\Extensions\GooglePlayGames\Editor                                                                                                                |          2 |         22 |          3 |          2 |         27 |
| Assets\Extensions\GooglePlayGames\Editor\m2repository                                                                                                   |          1 |         12 |          0 |          1 |         13 |
| Assets\Extensions\GooglePlayGames\Editor\m2repository\com                                                                                               |          1 |         12 |          0 |          1 |         13 |
| Assets\Extensions\GooglePlayGames\Editor\m2repository\com\google                                                                                        |          1 |         12 |          0 |          1 |         13 |
| Assets\Extensions\GooglePlayGames\Editor\m2repository\com\google\games                                                                                  |          1 |         12 |          0 |          1 |         13 |
| Assets\Extensions\GooglePlayGames\Editor\m2repository\com\google\games\gpgs-plugin-support                                                              |          1 |         12 |          0 |          1 |         13 |
| Assets\Extensions\GooglePlayGames\ISocialPlatform                                                                                                       |          6 |      1,535 |        811 |        247 |      2,593 |
| Assets\Extensions\GooglePlayGames\OurUtils                                                                                                              |          4 |        318 |        108 |         62 |        488 |
| Assets\Extensions\GooglePlayGames\Platforms                                                                                                             |        132 |     13,302 |      2,664 |      2,580 |     18,546 |
| Assets\Extensions\GooglePlayGames\Platforms\Android                                                                                                     |         16 |      1,427 |        443 |        100 |      1,970 |
| Assets\Extensions\GooglePlayGames\Platforms\Android\Developers                                                                                          |          2 |        350 |        130 |         43 |        523 |
| Assets\Extensions\GooglePlayGames\Platforms\Android\Gms                                                                                                 |         13 |        885 |        274 |         31 |      1,190 |
| Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common                                                                                          |          7 |        559 |        148 |         16 |        723 |
| Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api                                                                                      |          6 |        320 |        127 |         14 |        461 |
| Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games                                                                                           |          6 |        326 |        126 |         15 |        467 |
| Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Stats                                                                                     |          5 |        164 |        105 |         11 |        280 |
| Assets\Extensions\GooglePlayGames\Platforms\Native                                                                                                      |        113 |     11,786 |      2,154 |      2,458 |     16,398 |
| Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper                                                                                             |         48 |      2,933 |        726 |        729 |      4,388 |
| Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke                                                                                              |         51 |      5,134 |        848 |      1,121 |      7,103 |
| Assets\Extensions\GooglePlayGames\Platforms\Native\Platforms                                                                                            |          2 |        170 |         50 |         27 |        247 |
